Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0028,40,0.9972,22.04,C,COCCOCCOCCO,22.216885,235,3,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.001,33,0.999,8.5,[HH],COC,1.8944435,123,3,1
h2,1333-74-0,THF,109-99-9,0.0165,25,0.9835,61.10000000000001,[HH],C1CCOC1,43.072773,209,3,1
n2,7727-37-9,benzene,71-43-2,0.0106,40,0.9894,22.67,N#N,C1=CC=CC=C1,28.02075,373,3,1
methane,74-82-8,THF,109-99-9,0.0019,25,0.9981,1.01325,C,C1CCOC1,4.3175163,315,3,1
methane,74-82-8,n-heptane,142-82-5,0.064,38,0.936,13.7895,C,CCCCCCC,20.525349,306,3,1
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0076,50,0.9924,31.38,[HH],COCCOCCOCCO,48.223164,21,3,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0109,30,0.9891,18.8,N#N,CCOC(=O)C,15.513695,428,3,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0089,35,0.9911,30.2,[HH],CC(=C)C1=CC=CC=C1,34.968002,53,3,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.038,15,0.962,50.40000000000001,[HH],COC,46.18934,119,3,1
n2,7727-37-9,n-heptane,142-82-5,0.0482,40,0.9518,39.1,N#N,CCCCCCC,47.298748,452,3,1
n2,7727-37-9,dimethyl ether,115-10-6,0.059,15,0.941,79.6,N#N,COC,55.75571,379,3,1
h2,1333-74-0,1-4-dioxane,123-91-1,0.0034,25,0.9966,18.95,[HH],C1COCCO1,18.968807,10,3,1
h2,1333-74-0,acetone,67-64-1,0.0138,50,0.9862,40.5,[HH],CC(=O)C,45.204857,34,3,1
h2,1333-74-0,methyl formate,107-31-3,0.0044,18,0.9956,21.0,[HH],COC=O,11.641449,164,3,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0006,40,0.9994,4.44,C,COCCOCCOCCO,16.784359,233,3,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0295,50,0.9705,70.80000000000001,[HH],COCCOC,82.607155,8,3,1
methane,74-82-8,n-heptane,142-82-5,0.125,27,0.875,25.2,C,CCCCCCC,34.858776,305,3,1
methane,74-82-8,propanol,71-23-8,0.094,40,0.906,57.61,C,CCCO,72.2503,312,3,1
