Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
n2,7727-37-9,acetone,67-64-1,0.013,50,0.987,23.5,N#N,CC(=O)C,37.41143,349,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.002,15,0.998,7.700000000000001,[HH],COC,1.8139343,109,1,3
methane,74-82-8,acetone,67-64-1,0.0911,25,0.9089,45.1,C,CC(=O)C,48.438828,260,1,3
h2,1333-74-0,acetone,67-64-1,0.0246,25,0.9754,88.10000000000001,[HH],CC(=O)C,64.75916,31,1,3
h2,1333-74-0,toluene,108-88-3,0.0073,30,0.9927,21.96,[HH],CC1=CC=CC=C1,19.598785,225,1,3
h2,1333-74-0,ethyl formate,109-94-4,0.0091,18,0.9909,31.1,[HH],CCOC=O,14.796745,159,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.072,33,0.928,79.9,[HH],COC,110.91603,138,1,3
h2,1333-74-0,1-4-dioxane,123-91-1,0.0034,25,0.9966,18.95,[HH],C1COCCO1,16.944344,10,1,3
h2,1333-74-0,methyl formate,107-31-3,0.0035,18,0.9965,15.9,[HH],COC=O,12.365784,163,1,3
n2,7727-37-9,acetone,67-64-1,0.037,50,0.963,66.5,N#N,CC(=O)C,82.390656,351,1,3
n2,7727-37-9,benzene,71-43-2,0.0144,40,0.9856,30.92,N#N,C1=CC=CC=C1,37.762154,376,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0071,25,0.9929,12.3,C,C1COCCN1C=O,12.261768,244,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0111,23,0.9889,43.0,[HH],C1=CC=C(C=C1)Cl,30.899239,80,1,3
methane,74-82-8,n-heptane,142-82-5,0.064,38,0.936,13.7895,C,CCCCCCC,21.241787,306,1,3
methane,74-82-8,ethanol,64-17-5,0.092,40,0.908,84.3,C,CCO,77.76807,289,1,3
h2,1333-74-0,toluene,108-88-3,0.01,30,0.99,30.18,[HH],CC1=CC=CC=C1,26.061623,227,1,3
h2,1333-74-0,n-hexane,110-54-3,0.0183,25,0.9817,26.1,[HH],CCCCCC,21.149734,181,1,3
n2,7727-37-9,ethyl formate,109-94-4,0.0021,31,0.9979,4.0457,N#N,CCOC=O,5.0600586,431,1,3
h2,1333-74-0,THF,109-99-9,0.0261,25,0.9739,96.6,[HH],C1CCOC1,81.13794,210,1,3
h2,1333-74-0,methyl formate,107-31-3,0.0046,18,0.9954,34.9,[HH],COC=O,14.854366,165,1,3
h2,1333-74-0,n-hexane,110-54-3,0.0612,25,0.9388,91.9,[HH],CCCCCC,89.14005,187,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0158,55,0.9842,50.90000000000001,[HH],C1=CC=C(C=C1)Cl,57.38195,90,1,3
methane,74-82-8,THF,109-99-9,0.102,25,0.898,50.0,C,C1CCOC1,67.88698,317,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.1116,45,0.8884,92.8,N#N,COC,105.409744,410,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.038,15,0.962,50.40000000000001,[HH],COC,45.279415,119,1,3
h2,1333-74-0,cyclohexane,110-82-7,0.006,30,0.994,14.68,[HH],C1CCCCC1,15.86422,100,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0969,45,0.9031,83.0,N#N,COC,93.37048,409,1,3
methane,74-82-8,acetone,67-64-1,0.136,50,0.864,82.5,C,CC(=O)C,76.09246,271,1,3
methane,74-82-8,acetone,67-64-1,0.0725,50,0.9275,42.8,C,CC(=O)C,55.18811,267,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0096,25,0.9904,15.1,N#N,COC,8.015854,381,1,3
n2,7727-37-9,ethanol,64-17-5,0.0188,25,0.9812,54.153,N#N,CCO,57.50248,421,1,3
n2,7727-37-9,1-propanol,71-23-8,0.0054,25,0.9946,13.761,N#N,CCCO,15.2594795,334,1,3
n2,7727-37-9,phenol,108-95-2,0.0033,55,0.9967,40.3,N#N,C1=CC=C(C=C1)O,32.90831,477,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0154,30,0.9846,28.838,N#N,CCC=O,30.435879,476,1,3
methane,74-82-8,acetone,67-64-1,0.0367,25,0.9633,17.1,C,CC(=O)C,25.138767,257,1,3
methane,74-82-8,toluene,108-88-3,0.026,40,0.974,11.7,C,CC1=CC=CC=C1,24.574718,321,1,3
h2,1333-74-0,benzene,71-43-2,0.0098,30,0.9902,35.44,[HH],C1=CC=CC=C1,20.40944,70,1,3
n2,7727-37-9,toluene,108-88-3,0.088,50,0.912,211.7,N#N,CC1=CC=CC=C1,206.02759,494,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0035,25,0.9965,17.59,[HH],COCCOCCOCCO,35.44606,16,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0935,25,0.9065,82.9,N#N,COC,83.51802,388,1,3
n2,7727-37-9,toluene,108-88-3,0.109,50,0.891,277.5,N#N,CC1=CC=CC=C1,264.0675,495,1,3
n2,7727-37-9,ethanol,64-17-5,0.0335,25,0.9665,93.637,N#N,CCO,90.54855,423,1,3
h2,1333-74-0,benzene,71-43-2,0.0076,30,0.9924,27.44,[HH],C1=CC=CC=C1,16.033329,69,1,3
n2,7727-37-9,n-heptane,142-82-5,0.0817,40,0.9183,68.5,N#N,CCCCCCC,67.39325,453,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.043,15,0.957,57.40000000000001,[HH],COC,53.39212,120,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0352,25,0.9648,73.6,C,C1COCCN1C=O,87.02017,247,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0199,25,0.9801,102.6,[HH],COCCOCCOCCO,93.018234,19,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0026,25,0.9974,4.52,C,C1COCCN1C=O,2.4876213,243,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.002,30,0.998,4.1685,N#N,CCC=O,5.525337,472,1,3
n2,7727-37-9,toluene,108-88-3,0.0079,30,0.9921,15.268,N#N,CC1=CC=CC=C1,21.633034,485,1,3
n2,7727-37-9,ethyl acetate,141-78-6,0.0007,30,0.9993,1.3053,N#N,CCOC(=O)C,1.3360786,424,1,3
h2,1333-74-0,DMF,68-12-2,0.0047,25,0.9953,32.8,[HH],CN(C)C=O,36.371098,139,1,3
n2,7727-37-9,ethanol,64-17-5,0.0069,25,0.9931,20.333,N#N,CCO,23.1329,419,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.004,23,0.996,14.1,[HH],C1=CC=C(C=C1)Cl,14.175709,73,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0667,25,0.9333,61.9,N#N,COC,66.091156,386,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.102,20,0.898,150.0,[HH],CCC=O,180.27599,193,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.049,15,0.951,69.3,N#N,COC,47.833687,377,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.004,15,0.996,11.2,[HH],COC,3.6378555,111,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.003,33,0.997,11.8,[HH],COC,3.564518,125,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0079,50,0.9921,38.3,[HH],CC#N,49.5457,48,1,3
h2,1333-74-0,n-butanol,71-36-3,0.0044,18,0.9956,15.2,[HH],CCCCO,8.250359,170,1,3
methane,74-82-8,ethanol,64-17-5,0.046,40,0.954,40.2,C,CCO,52.22896,286,1,3
methane,74-82-8,ethanol,64-17-5,0.027,40,0.973,23.9,C,CCO,34.703587,285,1,3
h2,1333-74-0,n-butanol,71-36-3,0.0087,18,0.9913,31.0,[HH],CCCCO,15.678913,173,1,3
h2,1333-74-0,methyl formate,107-31-3,0.0061,18,0.9939,45.8,[HH],COC=O,18.447384,168,1,3
h2,1333-74-0,1-4-dioxane,123-91-1,0.013,50,0.987,57.1,[HH],C1COCCO1,54.919487,14,1,3
n2,7727-37-9,n-hexane,110-54-3,0.0223,30,0.9777,16.735,N#N,CCCCCC,18.726223,460,1,3
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0257,25,0.9743,74.30000000000001,[HH],COCCOC,57.23639,2,1,3
methane,74-82-8,n-butanol,71-36-3,0.065,50,0.935,40.3,C,CCCCO,47.592403,301,1,3
n2,7727-37-9,m-xylene,108-38-3,0.137,40,0.863,300.0,N#N,CC1=CC(=CC=C1)C,281.1826,444,1,3
h2,1333-74-0,ethyl formate,109-94-4,0.0074,18,0.9926,26.1,[HH],CCOC=O,11.907955,158,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.007,23,0.993,25.2,[HH],C1=CC=C(C=C1)Cl,20.388546,75,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.025,20,0.975,50.0,N#N,CCC=O,47.963223,464,1,3
n2,7727-37-9,n-heptane,142-82-5,0.0255,40,0.9745,19.9,N#N,CCCCCCC,23.175777,451,1,3
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0002,40,0.9998,1.74,C,COCCOCCOCCO,24.876743,232,1,3
methane,74-82-8,dimethyl-ether,115-10-6,0.121,40,0.879,40.3,C,COC,33.629448,279,1,3
methane,74-82-8,n-butanol,71-36-3,0.095,50,0.905,60.7,C,CCCCO,59.971153,303,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.01,33,0.99,19.6,[HH],COC,11.453785,128,1,3
h2,1333-74-0,n-butyl acetate,123-86-4,0.006,18,0.994,14.2,[HH],CCCCOC(=O)C,7.149643,174,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0103,30,0.9897,19.428,N#N,CCC=O,20.464931,475,1,3
n2,7727-37-9,phenol,108-95-2,0.0128,55,0.9872,80.3,N#N,C1=CC=C(C=C1)O,70.52374,481,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0041,50,0.9959,16.6,[HH],COCCOCCOCCO,40.58322,20,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.125,20,0.875,200.0,[HH],CCC=O,203.82312,195,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0006,25,0.9994,0.93,C,C1COCCN1C=O,-1.7511253,242,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.02,15,0.98,30.9,[HH],COC,21.494598,116,1,3
n2,7727-37-9,1-propanol,71-23-8,0.0013,25,0.9987,3.445,N#N,CCCO,4.754921,331,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.089,20,0.911,125.0,[HH],CCC=O,168.46858,192,1,3
methane,74-82-8,cyclohexane,108-95-2,0.059,40,0.941,20.2,C,C1=CC=C(C=C1)O,41.04056,275,1,3
h2,1333-74-0,cyclohexane,110-82-7,0.0125,30,0.9875,30.05,[HH],C1CCCCC1,27.176907,105,1,3
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0078,50,0.9922,17.82,[HH],COCCOC,24.11465,5,1,3
h2,1333-74-0,benzene,71-43-2,0.0127,30,0.9873,46.01000000000001,[HH],C1=CC=CC=C1,26.71254,72,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.058,15,0.942,71.4,[HH],COC,78.74017,122,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.001,33,0.999,8.5,[HH],COC,1.6364708,123,1,3
h2,1333-74-0,DMF,68-12-2,0.0141,25,0.9859,97.7,[HH],CN(C)C=O,75.3461,144,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0174,35,0.9826,23.2,N#N,COC,16.77024,392,1,3
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0074,50,0.9926,17.07,[HH],COCCOC,23.168388,4,1,3
h2,1333-74-0,acetone,67-64-1,0.0226,50,0.9774,67.10000000000001,[HH],CC(=O)C,72.231575,36,1,3
n2,7727-37-9,ethyl acetate,141-78-6,0.0109,30,0.9891,18.8,N#N,CCOC(=O)C,15.181904,428,1,3
n2,7727-37-9,n-hexane,110-54-3,0.0452,30,0.9548,34.286,N#N,CCCCCC,39.83572,462,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0488,45,0.9512,49.0,N#N,COC,55.8197,406,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0553,25,0.9447,134.5,C,C1COCCN1C=O,139.0568,249,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.047,15,0.953,64.4,[HH],COC,60.084747,121,1,3
h2,1333-74-0,acetone,67-64-1,0.0059,50,0.9941,17.62,[HH],CC(=O)C,21.0262,33,1,3
n2,7727-37-9,ethanol,64-17-5,0.0005,25,0.9995,1.623,N#N,CCO,2.2560081,413,1,3
n2,7727-37-9,benzene,71-43-2,0.0106,30,0.9894,24.09,N#N,C1=CC=CC=C1,23.926468,368,1,3
h2,1333-74-0,benzene,71-43-2,0.0027,30,0.9973,9.89,[HH],C1=CC=CC=C1,6.057785,64,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0092,25,0.9908,46.49,[HH],COCCOCCOCCO,57.452526,17,1,3
methane,74-82-8,propanol,71-23-8,0.094,40,0.906,57.61,C,CCCO,64.71575,312,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0045,30,0.9955,8.6081,N#N,CCC=O,10.861034,473,1,3
methane,74-82-8,n-butanol,71-36-3,0.048,50,0.952,29.8,C,CCCCO,36.52974,300,1,3
n2,7727-37-9,1-propanol,71-23-8,0.0385,25,0.9615,92.95,N#N,CCCO,89.07576,341,1,3
n2,7727-37-9,ethanol,64-17-5,0.0123,25,0.9877,35.671,N#N,CCO,39.94362,420,1,3
n2,7727-37-9,toluene,108-88-3,0.056,40,0.944,102.0,N#N,CC1=CC=CC=C1,127.84219,488,1,3
n2,7727-37-9,acetone,67-64-1,0.056,50,0.944,102.2,N#N,CC(=O)C,111.53254,354,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0415,25,0.9585,41.7,N#N,COC,42.027985,384,1,3
methane,74-82-8,n-butanol,71-36-3,0.056,30,0.944,31.2,C,CCCCO,34.11158,294,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.063,45,0.937,58.9,N#N,COC,68.41397,407,1,3
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0407,50,0.9593,130.0,[HH],CC(=C)C1=CC=CC=C1,130.5608,63,1,3
methane,74-82-8,acetone,67-64-1,0.0822,50,0.9178,50.0,C,CC(=O)C,58.81889,268,1,3
n2,7727-37-9,toluene,108-88-3,0.139,50,0.861,353.5,N#N,CC1=CC=CC=C1,340.42734,496,1,3
n2,7727-37-9,1-propanol,71-23-8,0.0102,25,0.9898,25.481,N#N,CCCO,25.046745,336,1,3
n2,7727-37-9,toluene,108-88-3,0.0009,30,0.9991,1.7265,N#N,CC1=CC=CC=C1,6.809231,482,1,3
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0271,35,0.9729,90.3,[HH],CC(=C)C1=CC=CC=C1,88.32886,55,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0092,55,0.9908,28.6,[HH],C1=CC=C(C=C1)Cl,37.280346,86,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.02,39,0.98,50.0,[HH],CCC=O,50.65625,197,1,3
h2,1333-74-0,cyclohexane,110-82-7,0.0147,30,0.9853,35.47000000000001,[HH],C1CCCCC1,31.358852,106,1,3
n2,7727-37-9,methyl formate,107-31-3,0.0058,30,0.9942,13.707,N#N,COC=O,26.951805,439,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0123,55,0.9877,39.40000000000001,[HH],C1=CC=C(C=C1)Cl,46.849205,88,1,3
h2,1333-74-0,n-butyl acetate,123-86-4,0.0109,18,0.9891,26.5,[HH],CCCCOC(=O)C,14.345516,176,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.069,39,0.931,175.0,[HH],CCC=O,153.85863,202,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0121,45,0.9879,20.9,N#N,COC,12.626553,402,1,3
h2,1333-74-0,acetone,67-64-1,0.0152,25,0.9848,54.1,[HH],CC(=O)C,37.208042,29,1,3
methane,74-82-8,acetone,67-64-1,0.0341,50,0.9659,20.7,C,CC(=O)C,32.48362,265,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.063,33,0.937,72.10000000000001,[HH],COC,96.19029,137,1,3
h2,1333-74-0,toluene,108-88-3,0.0169,25,0.9831,55.3,[HH],CC1=CC=CC=C1,43.989025,218,1,3
n2,7727-37-9,acetone,67-64-1,0.054,30,0.946,110.7,N#N,CC(=O)C,100.66764,346,1,3
n2,7727-37-9,acetonitrile,75-05-8,0.0014,31,0.9986,4.4944,N#N,CC#N,16.633675,357,1,3
methane,74-82-8,propanol,71-23-8,0.036,40,0.964,21.65,C,CCCO,32.76136,310,1,3
n2,7727-37-9,n-butyl acetate,123-86-4,0.0237,30,0.9763,29.184,N#N,CCCCOC(=O)C,29.955093,450,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0055,40,0.9945,9.88,C,C1COCCN1C=O,7.729294,251,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0018,40,0.9982,2.95,C,C1COCCN1C=O,-0.6912575,250,1,3
h2,1333-74-0,DMF,68-12-2,0.0049,50,0.9951,27.5,[HH],CN(C)C=O,47.044403,145,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.015,15,0.985,25.6,[HH],COC,15.078793,115,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.022,45,0.978,28.3,N#N,COC,23.333168,403,1,3
n2,7727-37-9,acetonitrile,75-05-8,0.0048,31,0.9952,14.996,N#N,CC#N,35.79149,359,1,3
h2,1333-74-0,cumene,98-82-8,0.0367,50,0.9633,90.2,[HH],CC(C)C1=CC=CC=C1,95.02756,96,1,3
n2,7727-37-9,acetone,67-64-1,0.06,50,0.94,111.4,N#N,CC(=O)C,116.74747,355,1,3
h2,1333-74-0,acetone,67-64-1,0.0144,50,0.9856,42.40000000000001,[HH],CC(=O)C,47.463207,35,1,3
h2,1333-74-0,n-hexane,110-54-3,0.0547,25,0.9453,80.7,[HH],CCCCCC,79.23056,185,1,3
n2,7727-37-9,ethyl acetate,141-78-6,0.0043,30,0.9957,7.4645,N#N,CCOC(=O)C,6.185684,426,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0032,50,0.9968,15.54,[HH],CC#N,27.689573,46,1,3
h2,1333-74-0,cyclohexane,110-82-7,0.0197,30,0.9803,47.43000000000001,[HH],C1CCCCC1,41.205193,108,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.017,20,0.983,25.0,[HH],CCC=O,31.30168,188,1,3
n2,7727-37-9,n-butyl acetate,123-86-4,0.0072,30,0.9928,8.622,N#N,CCCCOC(=O)C,9.385632,447,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.01,39,0.99,25.0,[HH],CCC=O,21.80091,196,1,3
h2,1333-74-0,n-hexane,110-54-3,0.0291,25,0.9709,42.90000000000001,[HH],CCCCCC,37.560944,183,1,3
h2,1333-74-0,toluene,108-88-3,0.0055,30,0.9945,16.85,[HH],CC1=CC=CC=C1,15.52409,224,1,3
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0098,50,0.9902,30.0,[HH],CC(=C)C1=CC=CC=C1,37.889614,59,1,3
n2,7727-37-9,methyl formate,107-31-3,0.0034,30,0.9966,8.4072,N#N,COC=O,18.700897,438,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.054,15,0.946,74.4,N#N,COC,53.193836,378,1,3
h2,1333-74-0,propanol,71-23-8,0.0031,18,0.9969,12.7,[HH],CCCO,6.1048317,204,1,3
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0327,25,0.9673,95.3,[HH],COCCOC,71.2705,3,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0052,23,0.9948,19.2,[HH],C1=CC=C(C=C1)Cl,16.541462,74,1,3
h2,1333-74-0,benzene,71-43-2,0.004,30,0.996,11.43,[HH],C1=CC=CC=C1,8.731735,65,1,3
methane,74-82-8,acetone,67-64-1,0.0434,25,0.9566,22.8,C,CC(=O)C,28.72987,258,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.02,40,0.98,38.0,C,C1COCCN1C=O,46.612564,253,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0205,50,0.9795,100.5,[HH],CC#N,98.08431,52,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0245,50,0.9755,103.3,[HH],COCCOCCOCCO,104.34826,23,1,3
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0162,25,0.9838,45.82,[HH],COCCOC,34.4281,1,1,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.013,20,0.987,25.0,N#N,CCC=O,22.593018,463,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0134,55,0.9866,44.3,[HH],C1=CC=C(C=C1)Cl,50.189888,89,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.002,33,0.998,9.6,[HH],COC,2.6031609,124,1,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0144,23,0.9856,56.3,[HH],C1=CC=C(C=C1)Cl,39.869194,83,1,3
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0033,50,0.9967,10.0,[HH],CC(=C)C1=CC=CC=C1,14.060242,57,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0947,35,0.9053,82.9,N#N,COC,87.97179,398,1,3
h2,1333-74-0,cyclohexane,110-82-7,0.0086,30,0.9914,20.9,[HH],C1CCCCC1,20.07639,102,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0116,25,0.9884,67.7,[HH],CC#N,50.352592,43,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0123,50,0.9877,57.8,[HH],CC#N,68.86207,49,1,3
n2,7727-37-9,methyl formate,107-31-3,0.0127,30,0.9873,29.141,N#N,COC=O,50.717808,441,1,3
h2,1333-74-0,ethyl formate,109-94-4,0.0112,18,0.9888,41.0,[HH],CCOC=O,18.323399,160,1,3
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0349,40,0.9651,72.0,C,C1COCCN1C=O,88.862686,254,1,3
h2,1333-74-0,1-4-dioxane,123-91-1,0.0225,50,0.9775,99.4,[HH],C1COCCO1,88.767586,15,1,3
h2,1333-74-0,toluene,108-88-3,0.0232,25,0.9768,76.0,[HH],CC1=CC=CC=C1,62.557747,220,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0808,25,0.9192,72.3,N#N,COC,74.7775,387,1,3
h2,1333-74-0,benzene,71-43-2,0.0056,30,0.9944,20.22,[HH],C1=CC=CC=C1,11.991623,67,1,3
h2,1333-74-0,acetonitrile,75-05-8,0.0156,50,0.9844,76.1,[HH],CC#N,82.007706,50,1,3
methane,74-82-8,ethanol,64-17-5,0.124,40,0.876,118.9,C,CCO,86.1308,291,1,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0092,35,0.9908,16.5,N#N,COC,8.392044,391,1,3
n2,7727-37-9,acetonitrile,75-05-8,0.0005,31,0.9995,1.6171,N#N,CC#N,12.338436,356,1,3
h2,1333-74-0,DMF,68-12-2,0.0121,50,0.9879,69.9,[HH],CN(C)C=O,77.60918,149,1,3
n2,7727-37-9,benzene,71-43-2,0.0119,20,0.9881,28.32,N#N,C1=CC=CC=C1,23.785568,364,1,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.039,20,0.961,50.0,[HH],CCC=O,87.59199,189,1,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.018,33,0.982,27.3,[HH],COC,22.484715,130,1,3
n2,7727-37-9,n-butyl acetate,123-86-4,0.0035,30,0.9965,4.1629,N#N,CCCCOC(=O)C,4.8675575,446,1,3
h2,1333-74-0,ethanol,64-17-5,0.005,18,0.995,21.8,[HH],CCO,10.6867485,154,1,3
h2,1333-74-0,1-4-dioxane,123-91-1,0.0171,25,0.9829,94.6,[HH],C1COCCO1,69.88214,12,1,3
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0209,35,0.9791,70.0,[HH],CC(=C)C1=CC=CC=C1,68.96213,54,1,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.016,50,0.984,66.80000000000001,[HH],COCCOCCOCCO,82.353294,22,1,3
methane,74-82-8,n-heptane,142-82-5,0.124,38,0.876,27.579,C,CCCCCCC,32.59124,307,2,3
h2,1333-74-0,DMF,68-12-2,0.0049,50,0.9951,27.5,[HH],CN(C)C=O,48.301193,145,2,3
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0002,40,0.9998,1.74,C,COCCOCCOCCO,20.538506,232,2,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.03,33,0.97,38.7,[HH],COC,45.17802,132,2,3
h2,1333-74-0,cumene,98-82-8,0.004,50,0.996,10.2,[HH],CC(C)C1=CC=CC=C1,12.210087,93,2,3
methane,74-82-8,dimethyl-ether,115-10-6,0.044,40,0.956,20.2,C,COC,18.383526,277,2,3
n2,7727-37-9,benzene,71-43-2,0.0131,20,0.9869,31.46,N#N,C1=CC=CC=C1,26.29781,365,2,3
h2,1333-74-0,chlorobenzene,108-90-7,0.0044,55,0.9956,13.2,[HH],C1=CC=C(C=C1)Cl,18.898567,84,2,3
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0199,25,0.9801,102.6,[HH],COCCOCCOCCO,89.073135,19,2,3
h2,1333-74-0,DMF,68-12-2,0.0176,50,0.9824,100.6,[HH],CN(C)C=O,92.4256,152,2,3
methane,74-82-8,acetone,67-64-1,0.0223,50,0.9777,15.0,C,CC(=O)C,23.853,264,2,3
h2,1333-74-0,n-propionaldehyde,123-38-6,0.125,20,0.875,200.0,[HH],CCC=O,205.58167,195,2,3
methane,74-82-8,n-butanol,71-36-3,0.02,50,0.98,10.5,C,CCCCO,16.898472,298,2,3
n2,7727-37-9,n-propionaldehyde,123-38-6,0.072,20,0.928,150.0,N#N,CCC=O,141.55923,468,2,3
h2,1333-74-0,n-butyl acetate,123-86-4,0.0109,18,0.9891,26.5,[HH],CCCCOC(=O)C,15.747658,176,2,3
n2,7727-37-9,ethanol,64-17-5,0.0039,25,0.9961,11.592,N#N,CCO,11.494621,418,2,3
methane,74-82-8,n-butanol,71-36-3,0.102,30,0.898,60.7,C,CCCCO,53.713337,297,2,3
n2,7727-37-9,toluene,108-88-3,0.0151,30,0.9849,29.495,N#N,CC1=CC=CC=C1,39.305923,487,2,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0052,45,0.9948,15.0,N#N,COC,10.883911,401,2,3
methane,74-82-8,n-butanol,71-36-3,0.079,50,0.921,50.2,C,CCCCO,50.572205,302,2,3
n2,7727-37-9,dimethyl ether,115-10-6,0.0808,25,0.9192,72.3,N#N,COC,75.05771,387,2,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.058,15,0.942,71.4,[HH],COC,81.53874,122,2,3
n2,7727-37-9,ethanol,64-17-5,0.0069,25,0.9931,20.333,N#N,CCO,20.216469,419,2,3
h2,1333-74-0,chlorobenzene,108-90-7,0.009,23,0.991,35.7,[HH],C1=CC=C(C=C1)Cl,27.085136,78,2,3
h2,1333-74-0,dimethyl-ether,115-10-6,0.011,15,0.989,20.9,[HH],COC,13.975391,114,2,3
