Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
co2,124-38-9,1-hexanol,111-27-3,0.6703,20,0.3297,53.6,C(=O)=O,CCCCCCO,50.817783,652,1,1
co2,124-38-9,1-hexanol,111-27-3,0.2974,20,0.7026,31.5,C(=O)=O,CCCCCCO,33.355637,650,1,1
co2,124-38-9,benzene,71-43-2,0.71,40,0.29,62.8,C(=O)=O,C1=CC=CC=C1,69.79216,465,1,1
co2,124-38-9,acetone,67-64-1,0.765,25,0.235,44.6,C(=O)=O,CC(=O)C,50.83564,49,1,1
co2,124-38-9,n-heptane,142-82-5,0.503,25,0.497,37.9,C(=O)=O,CCCCCCC,37.393692,523,1,1
co2,124-38-9,diethyl-succinate,123-25-1,0.218,26,0.782,14.085,C(=O)=O,CCOC(=O)CCC(=O)OCC,12.235888,922,1,1
co2,124-38-9,diethyl-succinate,123-25-1,0.5353,40,0.4647,42.401,C(=O)=O,CCOC(=O)CCC(=O)OCC,39.852478,946,1,1
co2,124-38-9,p-xylene,106-42-3,0.275,60,0.725,37.4,C(=O)=O,CC1=CC=C(C=C1)C,42.137146,231,1,1
co2,124-38-9,2-butanone,78-93-3,0.6029376200000001,40,0.3970623799999999,36.3,C(=O)=O,CCC(=O)C,50.734833,76,1,1
co2,124-38-9,diethyl-succinate,123-25-1,0.490776603,26,0.509223397,29.904,C(=O)=O,CCOC(=O)CCC(=O)OCC,27.896318,927,1,1
co2,124-38-9,phenol,108-95-2,0.0733,75,0.9267,20.8,C(=O)=O,C1=CC=C(C=C1)O,22.728828,10,1,1
co2,124-38-9,ethyl-pyrrolidinone,2687-91-4,0.96,40,0.04,85.0,C(=O)=O,CCN1CCCC1=O,80.76962,394,1,1
co2,124-38-9,propanol,71-23-8,0.7631,30,0.2369,64.9,C(=O)=O,CCCO,67.06061,557,1,1
co2,124-38-9,sulfolane,126-33-0,0.0490891,40,0.9509109,5.26,C(=O)=O,C1CCS(=O)(=O)C1,6.7171707,1051,1,1
co2,124-38-9,dimethyl-acetamide,127-19-5,0.928,60,0.072,110.1,C(=O)=O,CC(=O)N(C)C,104.62253,359,1,1
co2,124-38-9,diethyl-succinate,123-25-1,0.4826,40,0.5174000000000001,37.326,C(=O)=O,CCOC(=O)CCC(=O)OCC,35.09416,945,1,1
co2,124-38-9,octamethyl-cyclotetrasiloxane,556-67-2,0.0383,26,0.9617,1.406,C(=O)=O,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,1.6328888,951,1,1
co2,124-38-9,ethanol,64-17-5,0.8340000000000001,25,0.1659999999999999,59.5,C(=O)=O,CCO,61.832993,286,1,1
co2,124-38-9,sulfolane,126-33-0,0.0647664,40,0.9352336,7.329,C(=O)=O,C1CCS(=O)(=O)C1,8.5720005,1052,1,1
co2,124-38-9,dimethyl-ether,115-10-6,0.516,30,0.484,31.03,C(=O)=O,COC,33.733364,432,1,1
co2,124-38-9,n-hexane,110-54-3,0.503,30,0.497,38.3,C(=O)=O,CCCCCC,40.850975,478,1,1
co2,124-38-9,ethanol,64-17-5,0.3062,20,0.6938,35.4,C(=O)=O,CCO,36.823162,275,1,1
co2,124-38-9,n-heptane,142-82-5,0.904,30,0.0959999999999999,61.4,C(=O)=O,CCCCCCC,64.30392,532,1,1
co2,124-38-9,diethyl-acetamide,685-91-6,0.8640000000000001,40,0.1359999999999999,73.2,C(=O)=O,CCN(CC)C(=O)C,70.14395,367,1,1
co2,124-38-9,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.2189999999999999,60,0.781,21.52,C(=O)=O,COCCOCCOCCO,22.774666,885,1,1
co2,124-38-9,m-xylene,108-38-3,0.2849,60,0.7151000000000001,45.1,C(=O)=O,CC1=CC(=CC=C1)C,43.91585,199,1,1
co2,124-38-9,1-4-dioxane,123-91-1,0.231,25,0.769,12.4,C(=O)=O,C1COCCO1,12.719845,827,1,1
co2,124-38-9,ethyl-acetate,141-78-6,0.1336,50,0.8664000000000001,8.5,C(=O)=O,CCOC(=O)C,11.738548,405,1,1
co2,124-38-9,octamethyl-cyclotetrasiloxane,556-67-2,0.2532999999999999,26,0.7467,9.292,C(=O)=O,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,8.994162,959,1,1
co2,124-38-9,benzene,71-43-2,0.908,40,0.092,74.2,C(=O)=O,C1=CC=CC=C1,79.06529,467,1,1
co2,124-38-9,ethyl-acetate,141-78-6,0.3164,60,0.6836,23.6,C(=O)=O,CCOC(=O)C,34.417603,413,1,1
co2,124-38-9,ethanol,64-17-5,0.6977,20,0.3023,51.5,C(=O)=O,CCO,54.963707,277,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.2349,45,0.7651,18.987,C(=O)=O,COC(=O)OC,22.316967,328,1,1
co2,124-38-9,n-hexane,110-54-3,0.708,25,0.292,46.5,C(=O)=O,CCCCCC,48.08909,475,1,1
co2,124-38-9,2-butanone,78-93-3,0.7386310500000001,40,0.2613689499999999,49.0,C(=O)=O,CCC(=O)C,61.774612,78,1,1
co2,124-38-9,2-butanol,78-92-2,0.3121,25,0.6879,37.3,C(=O)=O,CCC(C)O,37.105873,614,1,1
co2,124-38-9,gamma-butyrolactone,96-48-0,0.318,20,0.6819999999999999,25.8,C(=O)=O,C1CC(=O)OC1,27.79761,802,1,1
co2,124-38-9,diethyl-acetamide,685-91-6,0.264,40,0.736,21.4,C(=O)=O,CCN(CC)C(=O)C,18.210642,361,1,1
co2,124-38-9,chloroform,67-66-3,0.9442,40,0.0557999999999999,78.55,C(=O)=O,C(Cl)(Cl)Cl,79.234985,178,1,1
co2,124-38-9,1-pentanol,71-41-0,0.596,20,0.404,52.3,C(=O)=O,CCCCCO,51.218544,670,1,1
co2,124-38-9,n-butanol,71-36-3,0.1424,40,0.8576,23.4,C(=O)=O,CCCCO,24.502975,591,1,1
co2,124-38-9,cyclohexane,110-82-7,0.916,40,0.084,74.9,C(=O)=O,C1CCCCC1,78.85916,39,1,1
co2,124-38-9,cyclohexane,110-82-7,0.945,30,0.055,63.6,C(=O)=O,C1CCCCC1,67.96109,30,1,1
co2,124-38-9,methanol,67-56-1,0.0662,25,0.9338,10.91,C(=O)=O,CO,9.838837,1026,1,1
co2,124-38-9,DMSO,67-68-5,0.3937,45,0.6063000000000001,70.4,C(=O)=O,CS(=O)C,47.16274,136,1,1
co2,124-38-9,acetone,67-64-1,0.6,30,0.4,35.2,C(=O)=O,CC(=O)C,45.325188,54,1,1
co2,124-38-9,4-formylmorpholine,4394-85-8,0.941,25,0.059,63.59,C(=O)=O,C1COCCN1C=O,61.451553,789,1,1
co2,124-38-9,2-methoxyethanol,109-86-4,0.106,35,0.894,13.158,C(=O)=O,COCCO,12.817976,720,1,1
co2,124-38-9,n-hexane,110-54-3,0.91,30,0.0899999999999999,61.5,C(=O)=O,CCCCCC,64.63172,482,1,1
co2,124-38-9,propanol,71-23-8,0.0361,30,0.9639,6.4,C(=O)=O,CCCO,7.492075,551,1,1
co2,124-38-9,1-pentanol,71-41-0,0.1572,20,0.8428,19.7,C(=O)=O,CCCCCO,20.758324,666,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.8515999999999999,35,0.1484000000000001,61.6,C(=O)=O,COC(=O)OC,65.93654,318,1,1
co2,124-38-9,phenol,108-95-2,0.2025,55,0.7975,51.0,C(=O)=O,C1=CC=C(C=C1)O,48.649647,3,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.882,35,0.118,64.2,C(=O)=O,COC(=O)OC,68.108444,319,1,1
co2,124-38-9,1-2-dimethoxyethane,110-71-4,0.8439,50,0.1561,60.6,C(=O)=O,COCCOC,77.41199,695,1,1
co2,124-38-9,sulfolane,126-33-0,0.0878409,50,0.9121591,13.85,C(=O)=O,C1CCS(=O)(=O)C1,13.323622,1060,1,1
co2,124-38-9,1-pentanol,71-41-0,0.2486,20,0.7514000000000001,29.2,C(=O)=O,CCCCCO,30.205696,667,1,1
co2,124-38-9,2-ethoxyethanol,110-80-5,0.1635,35,0.8365,17.226,C(=O)=O,CCOCCO,17.92999,757,1,1
co2,124-38-9,ethyl-pyrrolidinone,2687-91-4,0.5489999999999999,40,0.451,51.8,C(=O)=O,CCN1CCCC1=O,43.976486,388,1,1
co2,124-38-9,o-xylene,95-47-6,0.2546,40,0.7454000000000001,28.3,C(=O)=O,CC1=CC=CC=C1C,31.013494,208,1,1
co2,124-38-9,acetone,67-64-1,0.41,40,0.5900000000000001,27.0,C(=O)=O,CC(=O)C,39.714462,58,1,1
co2,124-38-9,acetone,67-64-1,0.9,40,0.0999999999999999,68.6,C(=O)=O,CC(=O)C,76.324196,63,1,1
co2,124-38-9,diethyl-succinate,123-25-1,0.0587,40,0.9413,4.539,C(=O)=O,CCOC(=O)CCC(=O)OCC,4.346895,934,1,1
co2,124-38-9,dimethyl-acetamide,127-19-5,0.624,60,0.376,79.6,C(=O)=O,CC(=O)N(C)C,72.30026,354,1,1
co2,124-38-9,acetonitrile,75-05-8,0.47,55,0.53,62.9,C(=O)=O,CC#N,63.80858,100,1,1
co2,124-38-9,chloroform,67-66-3,0.9363,30,0.0637,65.25,C(=O)=O,C(Cl)(Cl)Cl,65.98127,168,1,1
co2,124-38-9,n-heptane,142-82-5,0.802,25,0.1979999999999999,52.8,C(=O)=O,CCCCCCC,53.23104,526,1,1
co2,124-38-9,n-hexane,110-54-3,0.61,30,0.39,45.9,C(=O)=O,CCCCCC,47.094097,479,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.9519,35,0.0481,71.6,C(=O)=O,COC(=O)OC,73.7823,321,1,1
co2,124-38-9,2-butanol,78-92-2,0.8484999999999999,35,0.1515,72.5,C(=O)=O,CCC(C)O,71.23061,636,1,1
co2,124-38-9,ethanol,64-17-5,0.9121,30,0.0879,65.8,C(=O)=O,CCO,69.27118,296,1,1
co2,124-38-9,2-butanol,78-92-2,0.5398,35,0.4602,61.8,C(=O)=O,CCC(C)O,62.388084,628,1,1
co2,124-38-9,NMP,872-50-4,0.163,15,0.837,9.3,C(=O)=O,CN1CCCC1=O,9.670973,998,1,1
co2,124-38-9,benzene,71-43-2,0.51,35,0.49,45.6,C(=O)=O,C1=CC=CC=C1,53.07171,458,1,1
co2,124-38-9,dimethyl-carbonate,616-38-6,0.1094,25,0.8906000000000001,6.015,C(=O)=O,COC(=O)OC,8.183695,309,1,1
co2,124-38-9,diethyl-acetamide,685-91-6,0.982,40,0.018,82.0,C(=O)=O,CCN(CC)C(=O)C,82.379265,371,1,1
co2,124-38-9,octamethyl-cyclotetrasiloxane,556-67-2,0.0677,40,0.9323,2.957,C(=O)=O,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,3.7141685,972,1,1
co2,124-38-9,2-butanone,78-93-3,0.192,25,0.808,10.37,C(=O)=O,CCC(=O)C,12.604359,66,1,1
co2,124-38-9,methanol,67-56-1,0.2721,25,0.7279,34.31,C(=O)=O,CO,34.481907,1030,1,1
co2,124-38-9,2-butanone,78-93-3,0.231,25,0.769,12.76,C(=O)=O,CCC(=O)C,15.042164,67,1,1
co2,124-38-9,m-xylene,108-38-3,0.2483,60,0.7517,38.4,C(=O)=O,CC1=CC(=CC=C1)C,39.310352,198,1,1
