Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure COSMO (bar),SMILES 1,SMILES 2
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.4,25,0.6,17.88558574575,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.5,25,0.5,23.69368377998,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.6,25,0.4,30.29520322559,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.7,25,0.3,37.85526007225,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.8,25,0.2,46.47730909131,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.9,25,0.1,55.89634972572,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.1,50,0.9,6.70908664291,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.2,50,0.8,13.99908649215,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.3,50,0.7,21.99078130623,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.4,50,0.6,30.83420487211,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.5,50,0.5,40.71900529666,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.6,50,0.4,51.87689897315,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.7,50,0.3,64.55824810235,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.8,50,0.2,78.90961358837001,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)trimethoxy-silane,2530-87-2,0.9,50,0.1,94.49495643176,C(=O)=O,CO[Si](CCCCl)(OC)OC
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.1,0,0.9,1.94898966952,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.2,0,0.8,4.109284992109999,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.3,0,0.7,6.528229129010001,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.4,0,0.6,9.26584239163,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.5,0,0.5,12.39761113929,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.6,0,0.4,16.0138248826,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.7,0,0.3,20.20670599327,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.8,0,0.2,25.01623612496,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.9,0,0.1,30.24247240011,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.1,25,0.9,3.74703652846,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.2,25,0.8,7.87349754789,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.3,25,0.7,12.46276997112,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.4,25,0.6,17.61733470915,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.5,25,0.5,23.46455733084,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.6,25,0.4,30.154466109,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.7,25,0.3,37.83641107922,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.8,25,0.2,46.56601693877,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.9,25,0.1,55.98922175047,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.1,50,0.9,6.53541671533,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.2,50,0.8,13.68958212896,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.3,50,0.7,21.60210857498,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.4,50,0.6,30.43415264316,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.5,50,0.5,40.38396180785,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.6,50,0.4,51.68196203881,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.7,50,0.3,64.55228702656,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.8,50,0.2,79.06569009105,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(3-chloropropyl)dimethylchlorosilane,10605-40-0,0.9,50,0.1,94.647966248,C(=O)=O,C[Si](C)(CCCCl)Cl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.1,0,0.9,3.13572968227,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.2,0,0.8,6.3961039105,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.3,0,0.7,9.78733389311,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.4,0,0.6,13.29863713304,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.5,0,0.5,16.90913393013,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.6,0,0.4,20.58411817631,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.7,0,0.3,24.27222906351,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.8,0,0.2,27.90541314413,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.9,0,0.1,31.42028330067,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.1,25,0.9,5.84629994145,C(=O)=O,C1C(O1)CCl
co2,124-38-9,(chloromethyl)-oxirane,106-89-8,0.2,25,0.8,11.88141236179,C(=O)=O,C1C(O1)CCl
